2014-03-31 | 04:00:51 | (Log)     | 	 Battery voltage: 8.587254
2014-03-31 | 04:00:51 | (Log)     | 	 CRC: 784388848
2014-03-31 | 04:00:51 | (Log)     | readSensors() - finished.
2014-03-31 | 04:00:51 | (Log)     | saveData() - saving binary file.
2014-03-31 | 04:00:52 | (Log)     | saveData() - binary file saved.
2014-03-31 | 04:00:55 | (Log)     | readSensors() - initializing readings.
2014-03-31 | 04:00:55 | (Log)     | 	 Time: 1396238455
2014-03-31 | 04:00:55 | (Log)     | 	 Anemometer: 100.000000
2014-03-31 | 04:00:56 | (Log)     | 	 Pluviometer: 2.540000
2014-03-31 | 04:00:56 | (Log)     | 	 Wetting: 218.181824
2014-03-31 | 04:00:56 | (Log)     | 	 Temperature: 26.000000
2014-03-31 | 04:00:56 | (Log)     | 	 Humidity: 68.500000
2014-03-31 | 04:00:56 | (Log)     | 	 Soil temperature: 28.939428
2014-03-31 | 04:00:56 | (Log)     | 	 Soil humidity: 3.239657
2014-03-31 | 04:00:56 | (Log)     | 	 Solar radiation: inf
2014-03-31 | 04:00:56 | (Log)     | 	 Battery voltage: 8.554098
2014-03-31 | 04:00:56 | (Log)     | 	 CRC: 787562830
2014-03-31 | 04:00:56 | (Log)     | readSensors() - finished.
2014-03-31 | 04:00:56 | (Log)     | saveData() - saving binary file.
2014-03-31 | 04:00:57 | (Log)     | saveData() - binary file saved.
2014-03-31 | 04:01:00 | (Log)     | readSensors() - initializing readings.
2014-03-31 | 04:01:00 | (Log)     | 	 Time: 1396238460
2014-03-31 | 04:01:00 | (Log)     | 	 Anemometer: 100.000000
2014-03-31 | 04:01:01 | (Log)     | 	 Pluviometer: 2.286000
2014-03-31 | 04:01:01 | (Log)     | 	 Wetting: 218.429260
2014-03-31 | 04:01:01 | (Log)     | 	 Temperature: 26.000000
2014-03-31 | 04:01:01 | (Log)     | 	 Humidity: 68.500000
2014-03-31 | 04:01:01 | (Log)     | 	 Soil temperature: 28.926859
2014-03-31 | 04:01:01 | (Log)     | 	 Soil humidity: 3.239657
2014-03-31 | 04:01:01 | (Log)     | 	 Solar radiation: inf
2014-03-31 | 04:01:01 | (Log)     | 	 Battery voltage: 8.557782
2014-03-31 | 04:01:01 | (Log)     | 	 CRC: 784406623
2014-03-31 | 04:01:01 | (Log)     | readSensors() - finished.
2014-03-31 | 04:01:01 | (Log)     | saveData() - saving binary file.
2014-03-31 | 04:01:02 | (Log)     | saveData() - binary file saved.
2014-03-31 | 04:01:05 | (Log)     | readSensors() - initializing readings.
2014-03-31 | 04:01:05 | (Log)     | 	 Time: 1396238465
2014-03-31 | 04:01:05 | (Log)     | 	 Anemometer: 100.000000
2014-03-31 | 04:01:06 | (Log)     | 	 Pluviometer: 2.286000
2014-03-31 | 04:01:06 | (Log)     | 	 Wetting: 218.429260
2014-03-31 | 04:01:06 | (Log)     | 	 Temperature: 26.000000
2014-03-31 | 04:01:06 | (Log)     | 	 Humidity: 68.500000
2014-03-31 | 04:01:06 | (Log)     | 	 Soil temperature: 28.926859
2014-03-31 | 04:01:06 | (Log)     | 	 Soil humidity: 3.239657
2014-03-31 | 04:01:06 | (Log)     | 	 Solar radiation: inf
2014-03-31 | 04:01:06 | (Log)     | 	 Battery voltage: 8.550414
2014-03-31 | 04:01:06 | (Log)     | 	 CRC: 784415344
2014-03-31 | 04:01:06 | (Log)     | readSensors() - finished.
2014-03-31 | 04:01:06 | (Log)     | saveData() - saving binary file.
2014-03-31 | 04:01:07 | (Log)     | saveData() - binary file saved.
2014-03-31 | 04:01:10 | (Log)     | readSensors() - initializing readings.
2014-03-31 | 04:01:10 | (Log)     | 	 Time: 1396238470
2014-03-31 | 04:01:10 | (Log)     | 	 Anemometer: 100.000000
2014-03-31 | 04:01:11 | (Log)     | 	 Pluviometer: 2.286000
2014-03-31 | 04:01:11 | (Log)     | 	 Wetting: 218.429260
2014-03-31 | 04:01:11 | (Log)     | 	 Temperature: 26.000000
2014-03-31 | 04:01:11 | (Log)     | 	 Humidity: 68.500000
2014-03-31 | 04:01:11 | (Log)     | 	 Soil temperature: 28.901716
2014-03-31 | 04:01:11 | (Log)     | 	 Soil humidity: 3.236079
2014-03-31 | 04:01:11 | (Log)     | 	 Solar radiation: inf
2014-03-31 | 04:01:11 | (Log)     | 	 Battery voltage: 8.307275
2014-03-31 | 04:01:11 | (Log)     | 	 CRC: 785190771
2014-03-31 | 04:01:11 | (Log)     | readSensors() - finished.
2014-03-31 | 04:01:11 | (Log)     | saveData() - saving binary file.
2014-03-31 | 04:01:12 | (Log)     | saveData() - binary file saved.
2014-03-31 | 04:01:15 | (Log)     | readSensors() - initializing readings.
2014-03-31 | 04:01:15 | (Log)     | 	 Time: 1396238475
2014-03-31 | 04:01:15 | (Log)     | 	 Anemometer: 100.000000
2014-03-31 | 04:01:16 | (Log)     | 	 Pluviometer: 2.540000
2014-03-31 | 04:01:16 | (Log)     | 	 Wetting: 218.429260
2014-03-31 | 04:01:16 | (Log)     | 	 Temperature: 26.000000
2014-03-31 | 04:01:16 | (Log)     | 	 Humidity: 68.500000
2014-03-31 | 04:01:16 | (Log)     | 	 Soil temperature: 28.926859
2014-03-31 | 04:01:16 | (Log)     | 	 Soil humidity: 3.243235
2014-03-31 | 04:01:16 | (Log)     | 	 Solar radiation: inf
2014-03-31 | 04:01:16 | (Log)     | 	 Battery voltage: 8.565150
2014-03-31 | 04:01:16 | (Log)     | 	 CRC: 787545078
2014-03-31 | 04:01:16 | (Log)     | readSensors() - finished.
2014-03-31 | 04:01:16 | (Log)     | saveData() - saving binary file.
2014-03-31 | 04:01:17 | (Log)     | saveData() - binary file saved.
2014-03-31 | 04:01:20 | (Log)     | readSensors() - initializing readings.
2014-03-31 | 04:01:20 | (Log)     | 	 Time: 1396238480
2014-03-31 | 04:01:21 | (Log)     | 	 Anemometer: 100.000000
2014-03-31 | 04:01:21 | (Log)     | 	 Pluviometer: 2.286000
2014-03-31 | 04:01:21 | (Log)     | 	 Wetting: 218.429260
2014-03-31 | 04:01:21 | (Log)     | 	 Temperature: 26.000000
2014-03-31 | 04:01:21 | (Log)     | 	 Humidity: 68.500000
2014-03-31 | 04:01:21 | (Log)     | 	 Soil temperature: 28.926859
2014-03-31 | 04:01:21 | (Log)     | 	 Soil humidity: 3.232501
2014-03-31 | 04:01:21 | (Log)     | 	 Solar radiation: inf
2014-03-31 | 04:01:21 | (Log)     | 	 Battery voltage: 8.436213
2014-03-31 | 04:01:21 | (Log)     | 	 CRC: 785299813
2014-03-31 | 04:01:21 | (Log)     | readSensors() - finished.
2014-03-31 | 04:01:22 | (Log)     | saveData() - saving binary file.
2014-03-31 | 04:01:22 | (Log)     | saveData() - binary file saved.
2014-03-31 | 04:01:25 | (Log)     | readSensors() - initializing readings.
2014-03-31 | 04:01:25 | (Log)     | 	 Time: 1396238485
2014-03-31 | 04:01:25 | (Log)     | 	 Anemometer: 100.000000
2014-03-31 | 04:01:26 | (Log)     | 	 Pluviometer: 2.286000
2014-03-31 | 04:01:26 | (Log)     | 	 Wetting: 218.429260
2014-03-31 | 04:01:26 | (Log)     | 	 Temperature: 26.000000
2014-03-31 | 04:01:26 | (Log)     | 	 Humidity: 68.500000
2014-03-31 | 04:01:26 | (Log)     | 	 Soil temperature: 28.926859
2014-03-31 | 04:01:26 | (Log)     | 	 Soil humidity: 3.239657
2014-03-31 | 04:01:26 | (Log)     | 	 Solar radiation: inf
2014-03-31 | 04:01:26 | (Log)     | 	 Battery voltage: 8.528311
2014-03-31 | 04:01:26 | (Log)     | 	 CRC: 784435181
2014-03-31 | 04:01:26 | (Log)     | readSensors() - finished.
2014-03-31 | 04:01:26 | (Log)     | saveData() - saving binary file.
2014-03-31 | 04:01:27 | (Log)     | saveData() - binary file saved.
2014-03-31 | 04:01:30 | (Log)     | readSensors() - initializing readings.
2014-03-31 | 04:01:30 | (Log)     | 	 Time: 1396238490
2014-03-31 | 04:01:30 | (Log)     | 	 Anemometer: 100.000000
