2014-03-31 | 04:12:17 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:12:30 | (Log)     | set state: 2.
2014-03-31 | 04:12:30 | (Log)     | readSensors() iniciada
2014-03-31 | 04:12:31 | (Log)     | readSensors() concluida
2014-03-31 | 04:12:31 | (Log)     | set state: 3.
2014-03-31 | 04:12:31 | (Log)     | set state: 4.
***** Inserting faults *****
2014-03-31 | 04:12:33 | (Log)     | set state: 1.
2014-03-31 | 04:12:45 | (Log)     | set state: 2.
2014-03-31 | 04:12:45 | (Log)     | readSensors() iniciada
2014-03-31 | 04:12:45 | (Log)     | readSensors() concluida
2014-03-31 | 04:12:45 | (Log)     | set state: 3.
2014-03-31 | 04:12:46 | (Log)     | set state: 4.
2014-03-31 | 04:12:47 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:13:00 | (Log)     | set state: 2.
2014-03-31 | 04:13:00 | (Log)     | readSensors() iniciada
2014-03-31 | 04:13:00 | (Log)     | readSensors() concluida
2014-03-31 | 04:13:00 | (Log)     | set state: 3.
2014-03-31 | 04:13:01 | (Log)     | set state: 4.
2014-03-31 | 04:13:02 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:13:15 | (Log)     | set state: 2.
2014-03-31 | 04:13:15 | (Log)     | readSensors() iniciada
2014-03-31 | 04:13:15 | (Log)     | readSensors() concluida
2014-03-31 | 04:13:15 | (Log)     | set state: 3.
2014-03-31 | 04:13:16 | (Log)     | set state: 4.
2014-03-31 | 04:13:17 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:13:30 | (Log)     | set state: 2.
2014-03-31 | 04:13:30 | (Log)     | readSensors() iniciada
2014-03-31 | 04:13:30 | (Log)     | readSensors() concluida
2014-03-31 | 04:13:31 | (Log)     | set state: 3.
2014-03-31 | 04:13:31 | (Log)     | set state: 4.
2014-03-31 | 04:13:32 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:13:45 | (Log)     | set state: 2.
2014-03-31 | 04:13:45 | (Log)     | readSensors() iniciada
2014-03-31 | 04:13:45 | (Log)     | readSensors() concluida
2014-03-31 | 04:13:46 | (Log)     | set state: 3.
2014-03-31 | 04:13:46 | (Log)     | set state: 4.
2014-03-31 | 04:13:47 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:14:00 | (Log)     | set state: 2.
2014-03-31 | 04:14:00 | (Log)     | readSensors() iniciada
2014-03-31 | 04:14:01 | (Log)     | readSensors() concluida
2014-03-31 | 04:14:01 | (Log)     | set state: 3.
2014-03-31 | 04:14:01 | (Log)     | set state: 4.
2014-03-31 | 04:14:02 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:14:15 | (Log)     | set state: 2.
2014-03-31 | 04:14:15 | (Log)     | readSensors() iniciada
2014-03-31 | 04:14:15 | (Log)     | readSensors() concluida
2014-03-31 | 04:14:16 | (Log)     | set state: 3.
2014-03-31 | 04:14:16 | (Log)     | set state: 4.
2014-03-31 | 04:14:17 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:14:30 | (Log)     | set state: 2.
2014-03-31 | 04:14:30 | (Log)     | readSensors() iniciada
2014-03-31 | 04:14:30 | (Log)     | readSensors() concluida
2014-03-31 | 04:14:30 | (Log)     | set state: 3.
2014-03-31 | 04:14:31 | (Log)     | set state: 4.
2014-03-31 | 04:14:32 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:14:45 | (Log)     | set state: 2.
2014-03-31 | 04:14:45 | (Log)     | readSensors() iniciada
2014-03-31 | 04:14:45 | (Log)     | readSensors() concluida
2014-03-31 | 04:14:45 | (Log)     | set state: 3.
2014-03-31 | 04:14:46 | (Log)     | set state: 4.
2014-03-31 | 04:14:47 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:15:00 | (Log)     | set state: 2.
2014-03-31 | 04:15:00 | (Log)     | readSensors() iniciada
2014-03-31 | 04:15:00 | (Log)     | readSensors() concluida
2014-03-31 | 04:15:00 | (Log)     | set state: 3.
2014-03-31 | 04:15:01 | (Log)     | set state: 4.
2014-03-31 | 04:15:02 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:15:15 | (Log)     | set state: 2.
2014-03-31 | 04:15:15 | (Log)     | readSensors() iniciada
2014-03-31 | 04:15:15 | (Log)     | readSensors() concluida
2014-03-31 | 04:15:15 | (Log)     | set state: 3.
2014-03-31 | 04:15:16 | (Log)     | set state: 4.
2014-03-31 | 04:15:17 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:15:30 | (Log)     | set state: 2.
2014-03-31 | 04:15:30 | (Log)     | readSensors() iniciada
2014-03-31 | 04:15:30 | (Log)     | readSensors() concluida
2014-03-31 | 04:15:31 | (Log)     | set state: 3.
2014-03-31 | 04:15:31 | (Log)     | set state: 4.
2014-03-31 | 04:15:32 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:15:45 | (Log)     | set state: 2.
2014-03-31 | 04:15:45 | (Log)     | readSensors() iniciada
2014-03-31 | 04:15:45 | (Log)     | readSensors() concluida
2014-03-31 | 04:15:46 | (Log)     | set state: 3.
2014-03-31 | 04:15:46 | (Log)     | set state: 4.
***** Inserting faults *****
2014-03-31 | 04:15:48 | (Log)     | set state: 1.
2014-03-31 | 04:16:00 | (Log)     | set state: 2.
2014-03-31 | 04:16:00 | (Log)     | readSensors() iniciada
2014-03-31 | 04:16:00 | (Log)     | readSensors() concluida
2014-03-31 | 04:16:00 | (Log)     | set state: 3.
2014-03-31 | 04:16:01 | (Log)     | set state: 4.
2014-03-31 | 04:16:02 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:16:15 | (Log)     | set state: 2.
2014-03-31 | 04:16:15 | (Log)     | readSensors() iniciada
2014-03-31 | 04:16:15 | (Log)     | readSensors() concluida
2014-03-31 | 04:16:16 | (Log)     | set state: 3.
2014-03-31 | 04:16:16 | (Log)     | set state: 4.
2014-03-31 | 04:16:17 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:16:30 | (Log)     | set state: 2.
2014-03-31 | 04:16:30 | (Log)     | readSensors() iniciada
2014-03-31 | 04:16:30 | (Log)     | readSensors() concluida
2014-03-31 | 04:16:31 | (Log)     | set state: 3.
2014-03-31 | 04:16:31 | (Log)     | set state: 4.
2014-03-31 | 04:16:32 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:16:45 | (Log)     | set state: 2.
2014-03-31 | 04:16:45 | (Log)     | readSensors() iniciada
2014-03-31 | 04:16:45 | (Log)     | readSensors() concluida
2014-03-31 | 04:16:45 | (Log)     | set state: 3.
2014-03-31 | 04:16:46 | (Log)     | set state: 4.
2014-03-31 | 04:16:47 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:17:00 | (Log)     | set state: 2.
2014-03-31 | 04:17:00 | (Log)     | readSensors() iniciada
2014-03-31 | 04:17:00 | (Log)     | readSensors() concluida
2014-03-31 | 04:17:00 | (Log)     | set state: 3.
2014-03-31 | 04:17:01 | (Log)     | set state: 4.
2014-03-31 | 04:17:02 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:17:15 | (Log)     | set state: 2.
2014-03-31 | 04:17:15 | (Log)     | readSensors() iniciada
2014-03-31 | 04:17:15 | (Log)     | readSensors() concluida
2014-03-31 | 04:17:15 | (Log)     | set state: 3.
2014-03-31 | 04:17:16 | (Log)     | set state: 4.
2014-03-31 | 04:17:17 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:17:30 | (Log)     | set state: 2.
2014-03-31 | 04:17:30 | (Log)     | readSensors() iniciada
2014-03-31 | 04:17:30 | (Log)     | readSensors() concluida
2014-03-31 | 04:17:31 | (Log)     | set state: 3.
2014-03-31 | 04:17:31 | (Log)     | set state: 4.
2014-03-31 | 04:17:32 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:17:45 | (Log)     | set state: 2.
