2014-03-31 | 04:00:16 | (Log)     | set state: 3.
2014-03-31 | 04:00:16 | (Log)     | set state: 4.
2014-03-31 | 04:00:17 | (Log)     | set state: 1.
2014-03-31 | 04:00:17 | (Log)     | Inserting 100 faults:
2014-03-31 | 04:00:30 | (Log)     | set state: 2.
2014-03-31 | 04:00:30 | (Log)     | readSensors() iniciada
2014-03-31 | 04:00:30 | (Log)     | readSensors() concluida
2014-03-31 | 04:00:30 | (Log)     | set state: 3.
2014-03-31 | 04:00:31 | (Log)     | set state: 4.
2014-03-31 | 04:00:31 | (Log)     | set state: 1.
2014-03-31 | 04:00:32 | (Log)     | Inserting 100 faults:
2014-03-31 | 04:00:45 | (Log)     | set state: 2.
2014-03-31 | 04:00:45 | (Log)     | readSensors() iniciada
2014-03-31 | 04:00:45 | (Log)     | readSensors() concluida
2014-03-31 | 04:00:45 | (Log)     | set state: 3.
2014-03-31 | 04:00:46 | (Log)     | set state: 4.
2014-03-31 | 04:00:46 | (Log)     | set state: 1.
2014-03-31 | 04:00:59 | (Log)     | Inserting 100 faults:
2014-03-31 | 04:01:00 | (Log)     | set state: 2.
2014-03-31 | 04:01:00 | (Log)     | readSensors() iniciada
2014-03-31 | 04:01:00 | (Log)     | readSensors() concluida
2014-03-31 | 04:01:00 | (Log)     | set state: 3.
2014-03-31 | 04:01:01 | (Log)     | set state: 4.
2014-03-31 | 04:01:02 | (Log)     | set state: 1.
2014-03-31 | 04:01:11 | (Log)     | Inserting 100 faults:
2014-03-31 | 04:01:20 | (Log)     | Reset by watchdog.
2014-03-31 | 04:01:22 | (Log)     | goToState() - restore from state 0.
2014-03-31 | 04:01:22 | (Log)     | set state: 0.
2014-03-31 | 04:01:22 | (Log)     | config() - initializing configuration.
2014-03-31 | 04:00:00 | (Log)     | config() - successfully configured.
2014-03-31 | 04:00:00 | (Log)     | set state: 1.
2014-03-31 | 04:00:00 | (Log)     | set state: 2.
2014-03-31 | 04:00:00 | (Log)     | readSensors() iniciada
2014-03-31 | 04:00:00 | (Log)     | readSensors() concluida
2014-03-31 | 04:00:00 | (Log)     | set state: 3.
2014-03-31 | 04:00:01 | (Log)     | set state: 4.
2014-03-31 | 04:00:02 | (Log)     | set state: 1.
2014-03-31 | 04:00:03 | (Log)     | Inserting 100 faults:
2014-03-31 | 04:01:20 | (Log)     | Reset by power-button.
2014-03-31 | 04:01:22 | (Log)     | set state: 0.
2014-03-31 | 04:01:22 | (Log)     | config() - initializing configuration.
2014-03-31 | 04:00:00 | (Log)     | config() - successfully configured.
2014-03-31 | 04:00:00 | (Log)     | set state: 1.
2014-03-31 | 04:00:00 | (Log)     | set state: 2.
2014-03-31 | 04:00:00 | (Log)     | readSensors() iniciada
2014-03-31 | 04:00:00 | (Log)     | readSensors() concluida
2014-03-31 | 04:00:01 | (Log)     | set state: 3.
2014-03-31 | 04:00:01 | (Log)     | set state: 4.
2014-03-31 | 04:00:02 | (Log)     | set state: 1.
2014-03-31 | 04:00:03 | (Log)     | Inserting 100 faults:
2014-03-31 | 04:00:23 | (Log)     | Reset by power-button.
2014-03-31 | 04:00:25 | (Log)     | set state: 0.
2014-03-31 | 04:00:25 | (Log)     | config() - initializing configuration.
2014-03-31 | 04:00:00 | (Log)     | config() - successfully configured.
2014-03-31 | 04:00:00 | (Log)     | set state: 1.
2014-03-31 | 04:00:00 | (Log)     | set state: 2.
2014-03-31 | 04:00:00 | (Log)     | readSensors() iniciada
2014-03-31 | 04:00:00 | (Log)     | readSensors() concluida
